Name,Team Name,Position,Age,Season,FIFA rating,Injury,Date of Injury,Date of return,Match1_before_injury_Result,Match1_before_injury_Opposition,Match1_before_injury_GD,Match1_before_injury_Player_rating,Match2_before_injury_Result,Match2_before_injury_Opposition,Match2_before_injury_GD,Match2_before_injury_Player_rating,Match3_before_injury_Result,Match3_before_injury_Opposition,Match3_before_injury_GD,Match3_before_injury_Player_rating,Match1_missed_match_Result,Match1_missed_match_Opposition,Match1_missed_match_GD,Match2_missed_match_Result,Match2_missed_match_Opposition,Match2_missed_match_GD,Match3_missed_match_Result,Match3_missed_match_Opposition,Match3_missed_match_GD,Match1_after_injury_Result,Match1_after_injury_Opposition,Match1_after_injury_GD,Match1_after_injury_Player_rating,Match2_after_injury_Result,Match2_after_injury_Opposition,Match2_after_injury_GD,Match2_after_injury_Player_rating,Match3_after_injury_Result,Match3_after_injury_Opposition,Match3_after_injury_GD,Match3_after_injury_Player_rating
Joelinton,Newcastle,Central Midfielder,26,2022/23,80,Knock,22-May-23,31-May-23,lose,Arsenal,-2,6.4,draw,Leeds,0,6,win,Brighton,3,6.3,draw,Leicester,0,draw,Chelsea,0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Sean Longstaff,Newcastle,Central Midfielder,25,2022/23,77,Outer ligament problems,27-Apr-23,20-May-23,lose,Aston Villa,-3,5.8,win,Tottenham,5,7.3,win,Everton,3,6.2,win,Southampton,2,lose,Arsenal,-2,draw,Leeds,0,draw,Leicester,0,6.3,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Jonjo Shelvey,Newcastle,Central Midfielder,31,2022/23,77,Hamstring injury,26-Jul-22,10-Oct-22,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,win,Nottm Forest,2,draw,Brighton,0,draw,Man City,0,N.A.,N.A.,N.A.,N.A.,win,Aston Villa,4,N.A.,win,Southampton,3,6(S)
Allan Saint-Maximin,Newcastle,Left winger,26,2022/23,79,Hamstring injury,29-Aug-22,5-Oct-22,draw,Brighton,0,7,draw,Man City,0,9,draw,Wolves,0,7,lose,Liverpool,-1,draw,Crystal Palace,0,draw,Bournemouth,0,win,Brentford,4,6(S),N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Allan Saint-Maximin,Newcastle,Left winger,26,2022/23,79,Muscle injury,14-Oct-22,26-Oct-22,win,Brentford,4,6(S),N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,draw,Man United,0,win,Everton,1,win,Tottenham,1,N.A.,N.A.,N.A.,N.A.,win,Southampton,3,6(S),N.A.,N.A.,N.A.,N.A.
Allan Saint-Maximin,Newcastle,Left winger,26,2022/23,79,Hamstring injury,6-Apr-23,5-May-23,win,Nottm Forest,1,5,win,Man United,2,8,win,West Ham,4,7,win,Brentford,1,lose,Aston Villa,-3,win,Tottenham,5,lose,Arsenal,-2,6(S),draw,Leeds,0,7(S),N.A.,N.A.,N.A.,N.A.
Miguel Almirón,Newcastle,Right winger,29,2022/23,78,Thigh problems,15-Mar-23,15-Apr-23,lose,Liverpool,-2,6.2,lose,Man City,-2,5.5,win,Wolves,1,7.6(S),win,Nottm Forest,1,win,Man United,2,win,West Ham,4,lose,Aston Villa,-3,5.9(S),win,Tottenham,5,6.1(S),win,Everton,3,5.9
Joe Willock,Newcastle,Central Midfielder,23,2022/23,76,Hamstring injury,18-May-23,5-Jun-23,lose,Arsenal,2,6.4,draw,Leeds,0,7,win,Brighton,3,6.5,draw,Leicester,0,draw,Chelsea,0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Callum Wilson,Newcastle,Center Forward,31,2022/23,79,Hamstring injury,21-Aug-22,25-Sep-22,win,Nottm Forest,2,6.8,draw,Brighton,0,5.1,draw,Man City,0,6.9,draw,Wolves,0,lose,Liverpool,1,draw,Crystal Palace,0,win,Fulham,3,6.7,win,Brentford,4,6.4,draw,Man United,0,5.6
Bruno Guimarães,Newcastle,Defensive Midfielder,25,2022/23,81,Hamstring injury,25-Aug-22,16-Sep-22,win,Nottm Forest,2,7.8,draw,Brighton,0,6.8,draw,Man City,0,5.8,draw,Wolves,0,lose,Liverpool,-1,draw,Crystal Palace,0,draw,Bournemouth,0,6.9,win,Fulham,3,7.6,win,Brentford,4,8.9
Bruno Guimarães,Newcastle,Defensive Midfielder,25,2022/23,81,Ankle injury,1-Feb-23,20-Feb-23,draw,Arsenal,0,6.4,win,Fulham,1,6.6,draw,Crystal Palace,0,6.5,draw,West Ham,0,draw,Bournemouth,0,lose,Liverpool,-2,lose,Man City,-2,6.4,win,Wolves,1,6.2,win,Nottm Forest,1,7.2
Nick Pope,Newcastle,Goalkeeper,31,2022/23,83,Hand injury,23-May-23,20-Jun-23,draw,Leeds,0,7,win,Brighton,3,6.1,draw,Leicester,0,6.5,draw,Chelsea,0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Anthony Gordon,Newcastle,Left winger,22,2022/23,77,Ankle injury,10-Mar-23,1-Apr-23,draw,Bournemouth,0,6.1(S),lose,Liverpool,-2,6.2(S),lose,Man City,-2,6.1,win,Wolves,1,win,Nottm Forest,1,N.A.,N.A.,N.A.,win,Man United,2,5.8(S),win,West Ham,4,6.3(S),win,Brentford,1,5.9(S)
Alexander Isak,Newcastle,Center Forward,23,2022/23,80,Thigh problems,20-Sep-22,4-Jan-23,lose,Liverpool,-1,6.8,draw,Crystal Palace,0,6.1,draw,Bournemouth,0,7.4,win,Fulham,3,win,Brentford,4,draw,Man United,0,win,Fulham,1,7.1(S),draw,Crystal Palace,0,6.1(S),draw,Bournemouth,0,6.5
Jamaal Lascelles,Newcastle,Center Back,30,2023/24,76,unknown injury,23-Dec-23,1-Jan-24,lose,Tottenham,-3,4.9,lose,Fulham,-3,7.5,win,Luton Town,1,6.1,lose,Nottm Forest,-2,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Fabian Schär,Newcastle,Center Back,32,2023/24,82,Hamstring injury,27-Apr-24,15-May-24,win,Tottenham,4,7.8,lose,Crystal Palace,-2,5.8,win,Sheffield,4,5.9,win,Burnley,3,draw,Brighton,0,N.A.,N.A.,N.A.,lose,Man United,-1,5.6(S),win,Brentford,2,5.7,N.A.,N.A.,N.A.,N.A.
Joelinton,Newcastle,Central Midfielder,27,2023/24,82,Hamstring injury,13-Sep-23,15-Oct-23,lose,Man City,-1,6,lose,Liverpool,-1,6.8,lose,Brighton,-2,6.3,win,Brentford,1,win,Sheffield,8,draw,West Ham,0,win,Crystal Palace,4,6.5,draw,Wolves,0,6.8,win,Arsenal,1,7.8
Joelinton,Newcastle,Central Midfielder,27,2023/24,82,Hamstring injury,16-Dec-23,25-Dec-23,lose,Everton,-3,7,lose,Tottenham,-3,7,win,Fulham,3,5.6,lose,Luton Town,-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,lose,Nottm Forest,-2,5.8(S),lose,Liverpool,-2,6.6,N.A.,N.A.,N.A.,N.A.
Joelinton,Newcastle,Central Midfielder,27,2023/24,82,Groin surgery,6-Jan-24,3-May-24,lose,Nottm Forest,-2,5.8(S),lose,Liverpool,-2,6.6,N.A.,N.A.,N.A.,N.A.,lose,Man City,-1,win,Aston Villa,2,draw,Luton Town,0,win,Burnley,3,6(S),draw,Brighton,0,6(S),lose,Man United,-1,7(S)
Sean Longstaff,Newcastle,Central Midfielder,26,2023/24,77,Ankle injury,11-Nov-23,8-Dec-23,draw,Wolves,0,6.5,win,Arsenal,1,6.5,lose,Bournemouth,-2,5.9,win,Chelsea,3,win,Man United,1,lose,Everton,-3,lose,Tottenham,-3,5.7(S),win,Fulham,3,6.8,lose,Luton Town,-1,6
Miguel Almirón,Newcastle,Right winger,30,2023/24,79,Knee injury,30-Mar-24,3-May-24,win,Wolves,3,6.2(S),lose,Chelsea,-1,6.3,win,West Ham,1,6.3(S),draw,Everton,0,win,Fulham,1,win,Tottenham,4,win,Burnley,3,6(S),draw,Brighton,0,6.2(S),lose,Man United,-1,5.6(S)
Joe Willock,Newcastle,Central Midfielder,24,2023/24,78,Hamstring injury,1-Aug-23,23-Oct-23,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,win,Aston Villa,4,lose,Man City,-1,lose,Liverpool,-1,draw,Wolves,0,6(S),win,Arsenal,1,7(S),lose,Bournemouth,-2,6.4
Joe Willock,Newcastle,Central Midfielder,24,2023/24,78,Achilles tendon problems,24-Nov-23,23-Feb-24,draw,Wolves,0,6(S),win,Arsenal,1,7(S),lose,Bournemouth,-2,6.4,win,Chelsea,3,win,Man United,1,lose,Everton,-3,lose,Arsenal,-3,7(S),win,Wolves,3,6.4,lose,Chelsea,-1,6.6
Joe Willock,Newcastle,Central Midfielder,24,2023/24,78,Achilles tendon problems,6-Apr-24,20-May-24,win,West Ham,1,6.4,draw,Everton,0,6(S),win,Fulham,1,6,win,Tottenham,4,lose,Crystal Palace,-2,win,Sheffield,4,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Elliot Anderson,Newcastle,Central Midfielder,18,2023/24,74,Back injury,23-Oct-23,25-Feb-24,win,Burnley,2,6.6,draw,West Ham,0,6.4,win,Crystal Palace,4,5,draw,Wolves,0,win,Arsenal,1,lose,Bournemouth,-2,N.A.,N.A.,N.A.,N.A.,lose,Chelsea,-1,6.1(S),win,West Ham,1,7(S)
Callum Wilson,Newcastle,Center Forward,32,2023/24,82,Hamstring injury,24-Sep-23,7-Oct-23,lose,Brighton,-2,7(S),win,Brentford,1,6.7,win,Sheffield,8,7.3,win,Burnley,2,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,win,Crystal Palace,4,7,draw,Wolves,0,7.4
Callum Wilson,Newcastle,Center Forward,32,2023/24,82,Hamstring injury,7-Nov-23,8-Dec-23,win,Crystal Palace,4,7,draw,Wolves,4,7.4,win,Arsenal,1,5.7,lose,Bournemouth,-2,win,Chelsea,3,win,Man United,1,lose,Tottenham,-3,7(S),win,Fulham,3,6.2,lose,Luton Town,-1,6.4
Callum Wilson,Newcastle,Center Forward,32,2023/24,82,Calf injury,26-Dec-23,1-Feb-24,win,Fulham,3,6.2,lose,Luton Town,-1,6.4,lose,Nottm Forest,-2,6(S),lose,Liverpool,-2,lose,Man City,-1,win,Aston Villa,2,draw,Luton Town,0,6(S),win,Nottm Forest,1,5.7,N.A.,N.A.,N.A.,N.A.
Callum Wilson,Newcastle,Center Forward,32,2023/24,82,Chest injury,11-Feb-24,15-Apr-24,draw,Luton Town,0,6(S),win,Nottm Forest,1,5.7,N.A.,N.A.,N.A.,N.A.,draw,Bournemouth,0,lose,Arsenal,-3,win,Wolves,3,lose,Crystal Palace,2,6(S),win,Sheffield,4,7(S),win,Burnley,3,7.1
Callum Wilson,Newcastle,Center Forward,32,2023/24,82,Ill,6-May-24,17-May-24,lose,Crystal Palace,2,6(S),win,Sheffield,4,7(S),win,Burnley,3,7.1,draw,Brighton,0,lose,Man United,-1,N.A.,N.A.,N.A.,win,Brentford,2,6(S),N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Dan Burn,Newcastle,Center Back,32,2023/24,78,Back injury,4-Nov-23,11-Dec-23,win,Crystal Palace,4,6.7,draw,Wolves,0,6.2,win,Arsenal,1,6.3,lose,Bournemouth,-2,win,Chelsea,3,win,Man United,1,win,Fulham,3,8.4,lose,Luton Town,-1,6.6,lose,Nottm Forest,-2,5.9
Kieran Trippier,Newcastle,Right Back,33,2023/24,85,Groin injury,26-Dec-23,5-Jan-24,N.A.,N.A.,N.A.,N.A.,lose,Luton Town,-1,6.8,lose,Nottm Forest,-2,7,lose,Liverpool,-2,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,lose,Man City,-1,6.5,win,Aston Villa,2,7.4,draw,Luton Town,0,7.7
Kieran Trippier,Newcastle,Right Back,33,2023/24,85,Calf injury,2-Mar-24,10-May-24,draw,Bournemouth,0,6,lose,Arsenal,-3,5.2,win,Wolves,3,6.2,lose,Chelsea,-1,win,West Ham,1,draw,Everton,0,N.A.,N.A.,N.A.,N.A.,lose,Man United,-1,6,win,Brentford,2,6(S)
Sven Botman,Newcastle,Center Back,24,2023/24,83,Ankle injury,27-Aug-23,15-Sep-23,win,Aston Villa,4,7.4,lose,Man City,-1,6.7,lose,Liverpool,-1,6.4,lose,Brighton,-2,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,win,Brentford,1,7.1,win,Sheffield,8,8.5,N.A.,N.A.,N.A.,N.A.
Sven Botman,Newcastle,Center Back,24,2023/24,83,Knee injury,28-Sep-23,15-Dec-23,win,Brentford,1,7.1,win,Sheffield,8,8.5,N.A.,N.A.,N.A.,N.A.,win,Burnley,2,draw,West Ham,0,win,Crystal Palace,4,N.A.,N.A.,N.A.,N.A.,lose,Luton Town,-1,6.8(S),lose,Nottm Forest,-2,5.7
Sven Botman,Newcastle,Center Back,24,2023/24,83,Cruciate ligament surgery,20-Mar-24,2-Dec-24,lose,Arsenal,-3,4.3,win,Wolves,3,6.7,lose,Chelsea,-1,6.2,win,West Ham,1,draw,Everton,0,win,Fulham,1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Lewis Miley,Newcastle,Central Midfielder,18,2023/24,70,Fever,16-Oct-23,1-Nov-23,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,win,Crystal Palace,4,draw,Wolves,0,N.A.,N.A.,N.A.,lose,Bournemouth,-2,6.6,win,Chelsea,3,6.8,win,Man United,1,7.4
Lewis Miley,Newcastle,Central Midfielder,18,2023/24,70,ack injury,25-Mar-24,20-May-24,lose,Arsenal,-3,5.9,win,Wolves,3,6(S),lose,Chelsea,-1,6(S),win,West Ham,1,draw,Everton,0,win,Fulham,1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Anthony Gordon,Newcastle,Left winger,23,2023/24,80,Ankle injury,15-May-24,27-May-24,win,Burnley,3,7,draw,Brighton,0,7,lose,Man United,-1,8.4,win,Brentford,2,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Alexander Isak,Newcastle,Center Forward,24,2023/24,83,Groin injury,25-Oct-23,24-Nov-23,win,Burnley,2,6.9,draw,West Ham,0,8.7,win,Crystal Palace,4,5.4(S),draw,Wolves,0,win,Arsenal,1,lose,Bournemouth,-2,win,Chelsea,3,6.6,win,Man United,1,6.7,lose,Everton,-3,5.4
Alexander Isak,Newcastle,Center Forward,24,2023/24,83,Groin injury,30-Jan-24,23-Feb-24,lose,Nottm Forest,-2,7.8,lose,Man City,-1,7.1,win,Aston Villa,2,5.7,draw,Luton Town,0,win,Nottm Forest,1,draw,Bournemouth,0,win,Arsenal,-3,5.7,win,Wolves,3,6.9,lose,Chelsea,-1,7.1
Tino Livramento,Newcastle,Right Back,21,2023/24,74,Ill,12-Jan-24,20-Jan-24,N.A.,N.A.,N.A.,N.A.,lose,Nottm Forest,-2,6(S),lose,Liverpool,-2,5.8,lose,Man City,-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,win,Aston Villa,2,6(S),draw,Luton Town,0,6(S),N.A.,N.A.,N.A.,N.A.
Tino Livramento,Newcastle,Right Back,21,2023/24,74,Ankle injury,11-Mar-24,12-Apr-24,win,Wolves,3,7.5(S),lose,Chelsea,-1,5.9,win,West Ham,1,6,draw,Everton,0,win,Fulham,1,N.A.,N.A.,N.A.,win,Tottenham,4,6(S),win,Sheffield,4,7.1,win,Burnley,3,6.5
Tino Livramento,Newcastle,Right Back,21,2023/24,74,Ankle injury,14-May-24,27-May-24,win,Sheffield,4,7.1,win,Burnley,3,6.5,draw,Brighton,0,6.9,lose,Man United,-1,win,Brentford,2,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Harvey Barnes,Newcastle,Left winger,26,2023/24,80,Foot injury,24-Sep-23,1-Feb-24,lose,Brighton,-2,5.7(S),win,Brentford,1,6.3,win,Sheffield,8,6,win,Burnley,2,draw,West Ham,0,win,Crystal Palace,4,draw,Luton Town,0,7.1(S),win,Nottm Forest,1,6.1(S),draw,Bournemouth,0,6.4
Harvey Barnes,Newcastle,Left winger,26,2023/24,80,Hamstring injury,2-Mar-24,30-Mar-24,draw,Bournemouth,0,6.4,lose,Arsenal,-3,5.5(S),win,Wolves,3,6(S),lose,Chelsea,-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,win,West Ham,1,8.7(S),draw,Everton,0,7.9,win,Fulham,1,5.8(S)
Fabian Schär,Newcastle,Center Back,32,2023/24,82,concussion,27-Feb-23,5-Mar-23,draw,West Ham,0,6.7,draw,Bournemouth,0,5.6,lose,Liverpool,-2,5.5,lose,Man City,-2,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,win,Wolves,1,6.6,win,Nottm Forest,1,6.4,win,Man United,2,6.9
Nick Pope,Newcastle,Goalkeeper,32,2023/24,84,Shoulder injury,2-Dec-23,2-May-24,lose,Bournemouth,-2,8.1,win,Chelsea,3,6.3,win,Man United,1,6.3,lose,Everton,-3,lose,Tottenham,-3,win,Fulham,3,win,Brentford,2,6.1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Bernd Leno,Arsenal,Goalkeeper,28,2019/20,83,Ligament stretching,21-Jun-20,27-Aug-20,win,West Ham,1,8.5,lose,Man City,-3,7.5,lose,Brighton,-1,6.5,win,Southampton,2,win,Norwich City,4,win,Wolves,2,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Sead Kolasinac,Arsenal,Center Back,27,2019/20,80,Hamstring injury,17-Nov-19,30-Nov-19,draw,Crystal Palace,0,6(S),draw,Wolves,0,6(S),lose,Leicester,-2,6.8,draw,Southampton,0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,draw,Norwich City,0,6.1,lose,Brighton,-1,6.2,win,West Ham,2,7.2
Sead Kolasinac,Arsenal,Center Back,27,2019/20,80,Arm injury,24-Feb-20,15-Jun-20,win,Everton,1,5.7,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,win,West Ham,1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,lose,Brighton,-1,6.6,win,Southampton,2,6.5,win,Norwich City,4,7
Sead Kolasinac,Arsenal,Center Back,27,2019/20,80,Muscle strain,15-Jan-20,15-Feb-20,win,Man United,2,5.9,draw,Crystal Palace,0,6.7,N.A.,N.A.,N.A.,N.A.,draw,Sheffield,0,draw,Chelsea,0,draw,Burnley,0,win,Everton,1,5.7,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Sead Kolasinac,Arsenal,Center Back,27,2019/20,90,Ankle injury,16-Dec-19,30-Dec-19,lose,Brighton,-1,6.2,win,West Ham,2,7.2,lose,Man City,-3,5.4,draw,Everton,0,draw,Bournemouth,0,lose,Chelsea,-1,win,Man United,2,5.9,draw,Crystal Palace,0,6.7,N.A.,N.A.,N.A.,N.A.
Sokratis Papastathopoulos,Arsenal,Center Back,32,2019/20,83,concussion,27-Dec-19,30-Dec-19,win,West Ham,2,6.6,lose,Man City,-3,5.7,draw,Bournemouth,0,6.8,lose,Chelsea,-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,win,Man United,2,7.6,draw,Crystal Palace,0,6.5,N.A.,N.A.,N.A.,N.A.
Calum Chambers,Arsenal,Center Back,25,2019/20,75,Cruciate ligament tear,29-Dec-19,8-Nov-20,lose,Man City,-3,5.1,draw,Everton,0,8.7,lose,Chelsea,-1,7.4,win,Man United,2,draw,Crystal Palace,0,draw,Sheffield,0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Shkodran Mustafi,Arsenal,Center Back,28,2019/20,81,Muscle strain,29-Feb-20,15-Mar-20,draw,Burnley,0,7.4,win,Newcastle,4,7.4,win,Everton,1,6.8,win,West Ham,1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,lose,Man City,-3,5.4,lose,Brighton,-1,6.4,win,Southampton,2,6.1
Kieran Tierney,Arsenal,Left Back,23,2019/20,75,Shoulder injury,9-Dec-19,14-Mar-20,draw,Southampton,0,6.1,lose,Brighton,-1,5.6,win,West Ham,2,6.3,lose,Man City,-2,draw,Everton,0,draw,Bournemouth,0,lose,Man City,-3,5.9,N.A.,N.A.,N.A.,N.A.,win,Southampton,2,6.6
Kieran Tierney,Arsenal,Left Back,23,2019/20,75,Groin injury,13-Sep-20,27-Sep-20,win,Fulham,3,7.1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,win,West Ham,1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,lose,Liverpool,-2,6.1,win,Sheffield,1,7.1,lose,Man City,-1,6.3
Kieran Tierney,Arsenal,Left Back,23,2019/20,75,Knee injury,19-Jan-21,16-Feb-21,win,Brighton,1,6.3,win,West Brom,4,9.2,win,Newcastle,2,8,win,Southampton,2,draw,Man United,0,lose,Wolves,-1,lose,Man City,-1,6.6,win,Leicester,2,6.4,draw,Burnley,0,6.5
Kieran Tierney,Arsenal,Left Back,23,2019/20,75,Knee injury,3-Apr-21,5-May-21,win,Tottenham,1,7.1,draw,West Ham,0,6.1,lose,Liverpool,-3,6.9,win,Sheffield,3,draw,Fulham,0,lose,Everton,-1,win,West Brom,2,5..8,win,Chelsea,1,6,win,Crystal Palace,2,6.8
Héctor Bellerín,Arsenal,Right Back,25,2019/20,81,Hamstring injury,6-Dec-19,14-Jan-20,lose,Leicester,-2,6,draw,Southampton,0,6.3,lose,Brighton,-1,5.9,win,West Ham,2,lose,Man City,-3,draw,Everton,0,draw,Chelsea,0,7.3,draw,Burnley,0,7,win,Newcastle,4,6.8
Cédric Soares,Arsenal,Right Back,28,2019/20,77,Broken Nose and Knee Injury,21-Jan-20,26-Jun-20,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,draw,Burnley,0,win,Newcastle,4,win,Everton,1,win,Norwich City,4,7(S),win,Wolves,2,6.1,N.A.,N.A.,N.A.,N.A.
Lucas Torreira,Arsenal,Defensive Midfielder,24,2019/20,83,Ankle injury,3-Mar-20,3-Jul-20,draw,Burnley,0,6.2,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,win,West Ham,1,lose,Man City,-3,lose,Brighton,-1,win,Wolves,2,5(S),N.A.,N.A.,N.A.,N.A.,win,Liverpool,1,6
Granit Xhaka,Arsenal,Defensive Midfielder,27,2019/20,83,Back injury,12-Aug-19,23-Aug-19,win,Newcastle,1,7.1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,win,Burnley,1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,lose,Liverpool,-2,7,draw,Tottenham,0,6.2,draw,Watford,0,6.9
Granit Xhaka,Arsenal,Defensive Midfielder,27,2019/20,83,concussion,9-Dec-19,17-Dec-19,draw,Norwich City,0,6.9,lose,Brighton,-1,6.1,win,West Ham,2,6.3,lose,Man City,-3,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,draw,Everton,0,6.9,draw,Bournemouth,0,7.3,win,Man United,2,7.1
Granit Xhaka,Arsenal,Defensive Midfielder,27,2019/20,83,Ankle injury,18-Jun-20,24-Jun-20,win,Everton,1,7,win,West Ham,1,6.7,lose,Man City,-3,6,lose,Brighton,-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,win,Southampton,2,6.2,win,Norwich City,4,7.5,win,Wolves,2,6.9
Mattéo Guendouzi,Arsenal,Central Midfielder,21,2019/20,74,Fitness,25-Jun-20,7-Oct-20,N.A.,N.A.,N.A.,N.A.,lose,Man City,-3,6.2,lose,Brighton,-1,6.4,win,Southampton,2,win,Norwich City,4,win,Wolves,2,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Dani Ceballos,Arsenal,Central Midfielder,23,2019/20,80,Torn muscle bundle,7-Nov-19,31-Dec-19,lose,Sheffield,-1,6.5,draw,Crystal Palace,0,6.4,draw,Wolves,0,6.9,lose,Leicester,-2,draw,Southampton,0,draw,Norwich City,0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Mesut Özil,Arsenal,Attacking Midfielder,31,2019/20,85,Ankle injury,16-Dec-19,26-Dec-19,lose,Brighton,-2,6.8,win,West Ham,2,6.7,lose,Man City,-3,5.9,draw,Everton,0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,draw,Bournemouth,0,6.3,lose,Chelsea,-1,5.9,win,Man United,2,6
Gabriel Martinelli,Arsenal,Left winger,19,2019/20,72,Hamstring injury,23-Dec-19,6-Jan-20,win,West Ham,2,7.2,lose,Man City,-3,6.7,draw,Everton,0,5.8,draw,Bournemouth,0,lose,Chelsea,-1,win,Man United,2,draw,Crystal Palace,0,5.7,draw,Sheffield,0,6.4,draw,Chelsea,0,6.9
Nicolas Pépé,Arsenal,Right winger,25,2019/20,81,Muscle fatigue,2-Jul-20,6-Jul-20,lose,Brighton,-1,7.1,win,Southampton,2,5.8,N.A.,N.A.,N.A.,N.A.,win,Wolves,2,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,lose,Tottenham,-1,6.6,win,Liverpool,1,5.1,lose,Aston Villa,-1,6.3
Reiss Nelson,Arsenal,Right winger,20,2019/20,73,Hamstring injury,9-Jan-20,24-Feb-20,lose,Chelsea,-1,5.7,win,Man United,2,5.8,draw,Crystal Palace,0,6(S),draw,Sheffield,0,draw,Chelsea,0,draw,Burnley,0,win,West Ham,1,6.1,lose,Man City,-3,5.9,N.A.,N.A.,N.A.,N.A.
Alexandre Lacazette,Arsenal,Center Forward,29,2019/20,85,Ankle injury,2-Sep-19,20-Oct-19,win,Burnley,1,7.1,N.A.,N.A.,N.A.,N.A.,draw,Tottenham,0,7.8,draw,Watford,0,win,Aston Villa,1,draw,Man United,0,lose,Sheffield,-1,5.7,draw,Crystal Palace,0,6.7,draw,Wolves,0,7.1
Shkodran Mustafi,Arsenal,Center Back,29,2020/21,80,Muscle injury,19-Jul-20,24-Oct-20,win,Wolves,2,6.3,draw,Leicester,0,6.6,lose,Tottenham,-1,6.9,lose,Aston Villa,-1,win,Watford,1,win,Fulham,3,lose,Leicester,-1,7,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
